fecha_captura,fecha_actualizacion,nivel,ubigeo,nombre_ubigeo,actas_contabilizadas,contabilizadas,total_actas,participacion,votos_emitidos,votos_validos,enviadas_jee,pendientes_jee
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,130000,LAMBAYEQUE,71.142,2554,3590,55.431,582769,537939,9,1027
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,140000,LIMA,57.356,16775,29247,45.606,3945377,3704078,513,11959
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,150000,LORETO,27.697,747,2697,18.251,141616,132194,10,1940
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,170000,MOQUEGUA,79.412,459,578,65.088,107153,100785,2,117
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,180000,PASCO,41.397,332,802,28.948,64755,60267,7,463
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,190000,PIURA,55.823,2948,5281,43.607,668963,616564,47,2286
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,200000,PUNO,50.368,1711,3397,41.028,395303,376308,20,1666
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,210000,SAN MARTÍN,49.013,1242,2534,36.774,266098,246012,6,1286
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,220000,TACNA,81.94,853,1041,67.449,204110,192499,12,176
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,230000,TUMBES,91.456,578,632,69.767,126499,116504,3,51
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,250000,UCAYALI,51.854,811,1564,35.229,159913,149888,20,733
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,nacional,,PERÚ,55.479,51466,92766,42.643,11652303,10887813,890,40410
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,010000,AMAZONAS,41.08,525,1278,29.322,101233,94248,9,744
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,020000,ÁNCASH,54.724,1900,3472,42.004,408020,373859,27,1545
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,030000,APURÍMAC,39.863,525,1317,30.208,109153,102785,4,788
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,040000,AREQUIPA,75.35,3176,4215,62.073,761335,713339,21,1018
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,050000,AYACUCHO,44.158,839,1900,33.82,175944,166871,11,1050
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,060000,CAJAMARCA,39.693,1683,4240,29.957,359114,331516,9,2548
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,240000,CALLAO,66.77,1935,2898,51.943,446174,415756,43,920
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,070000,CUSCO,55.963,2229,3983,42.952,486973,454423,33,1721
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,080000,HUANCAVELICA,35.507,452,1273,25.185,85489,80939,4,817
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,090000,HUÁNUCO,49.893,1168,2341,36.025,236508,220735,8,1165
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,100000,ICA,62.669,1531,2443,51.413,367086,346141,11,901
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,110000,JUNÍN,61.23,2260,3691,46.799,497243,465820,17,1414
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,120000,LA LIBERTAD,63.599,3372,5302,49.056,761681,705874,24,1906
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,130000,LAMBAYEQUE,71.504,2567,3590,55.697,585572,540523,9,1014
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,140000,LIMA,58.854,17213,29247,46.807,4049288,3801622,529,11505
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,150000,LORETO,28.328,764,2697,18.671,144871,135226,10,1923
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,170000,MOQUEGUA,79.412,459,578,65.088,107153,100785,2,117
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,180000,PASCO,41.397,332,802,28.948,64755,60267,7,463
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,190000,PIURA,56.504,2984,5281,44.109,676667,623691,47,2250
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,200000,PUNO,52.016,1767,3397,42.311,407660,388161,20,1610
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,210000,SAN MARTÍN,49.763,1261,2534,37.257,269593,249231,6,1267
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,220000,TACNA,81.94,853,1041,67.449,204110,192499,12,176
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,230000,TUMBES,92.405,584,632,70.48,127793,117723,3,45
2026-06-08T03:04:15+00:00,2026-06-08T03:02:02+00:00,departamento,250000,UCAYALI,52.046,814,1564,35.337,160406,150323,20,730
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,nacional,,PERÚ,56.204,52138,92766,43.184,11800219,11026064,902,39726
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,010000,AMAZONAS,41.315,528,1278,29.47,101742,94708,9,741
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,020000,ÁNCASH,56.567,1964,3472,43.412,421699,386280,28,1480
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,030000,APURÍMAC,40.623,535,1317,30.718,110996,104532,4,778
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,040000,AREQUIPA,75.35,3176,4215,62.073,761335,713339,21,1018
2026-06-08T03:09:04+00:00,2026-06-08T03:06:01+00:00,departamento,050000,AYACUCHO,44.263,841,1900,33.883,176271,167183,11,1048
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,060000,CAJAMARCA,40.118,1701,4240,30.251,362642,334829,9,2530
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,240000,CALLAO,68.185,1976,2898,52.979,455074,423997,46,876
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,070000,CUSCO,56.365,2245,3983,43.225,490069,457357,33,1705
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,080000,HUANCAVELICA,35.821,456,1273,25.367,86108,81527,4,813
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,090000,HUÁNUCO,51.474,1205,2341,36.9,242258,226101,8,1128
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,100000,ICA,63.447,1550,2443,52.014,371376,350161,11,882
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,110000,JUNÍN,61.799,2281,3691,47.257,502106,470406,17,1393
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,120000,LA LIBERTAD,63.655,3375,5302,49.095,762291,706442,24,1903
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,130000,LAMBAYEQUE,71.894,2581,3590,55.99,588649,543366,9,1000
